First Name,Last Name,BTN Code,End Team,Pos,GP,PPG,PPA,PPP,PPA1,PPA2,54G,54A1,54A2,PPP/60,PPShot,PPMiss,PPBlkd,PPSh%,PPCoSH%,PPPass,PPBlk,PPHitF,PPHitA,PPTOI,PPTOI/G,54TOI/G,54TOF/G,PP%,PPIGP,PPIAP,PPIPP,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,PPPenT,PPPenD,PPCorsi,PPRelC,PPQoC,PPRQoC,Raw Delta,Delta,Delta QS,Delta QO,Delta QT,Delta SOT
Aaron,Ness,AARONNESS,NYI,D,20,0,0,0,0,0,0,0,0,0,0,0,1,0.00%,0.00%,0,0,0,0,6,0.28,0.3,4.55,6.20%,0.00%,0.00%,0.00%,,, ,0,1,2,1,3,0,0,5,0,0,80.45,-4.7,-89.203,-15.695,-0.2,-0.9,0,0,0,-0.8
Aaron,Palushaj,AARONPALUSHAJ,CAR,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0.5,0.27,0.27,3.9,6.50%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,2,0,0,225,125,-87.867,1.716,0,0,0,0,0,0
Aaron,Rome,AARONROME,DAL,D,25,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,1.3,0.05,0.05,5.59,0.90%,0.00%,0.00%,0.00%,,, ,1,0,0,0,0,0,0,1,0,0,94.74,-4.9,-81.817,-4.615,0.2,0.1,0.1,0,0,0.1
Aaron,Volpatti,AARONVOLPATTI,WSH,LW,41,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0.8,0.02,0.02,5.39,0.40%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,1,0,0,73.47,-14.8,-76.18,2.7,0,-0.1,0,0,0,-0.1
Adam,Almquist,ADAMALMQVIST,DET,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,2.5,1.23,1.23,0.99,55.40%,0.00%,0.00%,0.00%,,, ,0,0,4,0,2,0,0,1,0,0,170.27,140,-81.877,-0.737,0.4,0.2,0.1,0,0,0.4
Adam,Burish,ADAMBURISH,SJS,RW,15,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,2.1,0.13,0.14,5.49,2.50%,0.00%,0.00%,0.00%,0,0, ,0,0,1,0,0,0,0,2,0,0,87.8,-10.6,-86.973,-8.474,0.1,-0.1,0,0,0,-0.1
Adam,Cracknell,ADAMCRACKNELL,STL,RW,19,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,2.3,0.12,0.12,6.08,1.90%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,2,0,0,53.33,-26.6,-84.497,-4.408,0.1,-0.1,0,0,0,-0.1
Adam,Hall,ADAMHALL,PHI,RW/LW,80,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,2.7,0.03,0.05,5.64,0.90%,0.00%,0.00%,0.00%,2,1,66.70%,0,0,2,1,0,0,0,1,0,0,30.13,-60.5,-85.492,-4.446,0.1,-0.2,0.3,-0.1,0,0
Adam,Henrique,ADAMHENRIQUE,NJD,C,77,7,5,12,2,3,7,2,3,4.4,24,5,5,29.20%,20.60%,14,0,2,4,162.9,2.1,2.11,2.93,41.90%,38.90%,27.80%,66.70%,62,79,44.00%,18,2,104,21,32,7,4,48,1,0,62.03,0.7,-76.65,-0.308,12.6,-1.7,0.6,-0.5,1.6,0
Adam,Larsson,ADAMLARSSON,NJD,D,26,0,0,0,0,0,0,0,0,0,0,0,2,0.00%,0.00%,0,1,0,0,12.4,0.47,0.48,4.76,9.20%,0.00%,0.00%,0.00%,,, ,0,0,3,2,2,2,1,2,0,0,9.69,-56.8,-83.366,-4.273,0.4,-0.8,0.1,-0.1,0.1,-0.6
Adam,McQuaid,ADAMMCQUAID,BOS,D,30,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0.8,0.02,0.03,4.84,0.60%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,0,-100.8,-68.407,1.734,0,0,0,0,0,0
Adam,Pardy,ADAMPARDY,WPG,D,60,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,1,0,1.1,0.02,0.03,4.84,0.60%,0.00%,0.00%,0.00%,,, ,0,0,0,0,1,0,0,0,0,0,39.13,-42.5,-86.869,0.463,0,-0.2,0,0,0.1,-0.1
Adam,Payerl,ADAMPAYERL,PIT,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Alec,Martinez,ALECMARTINEZ,LAK,D,61,3,5,8,2,3,4,2,3,4,25,13,22,12.00%,5.00%,22,1,5,3,120.7,1.97,1.98,3.59,35.50%,40.00%,50.00%,90.00%,,, ,10,1,100,8,57,6,1,57,0,0,103.43,12.2,-79.019,7.285,11.4,0,0.5,0,0,0.6
Aleksander,Barkov,ALEKSANDERBARKOV,FLA,C,54,3,3,6,2,1,2,2,1,2.5,12,3,7,25.00%,13.60%,30,1,1,8,144.1,2.67,2.57,3.01,46.10%,28.60%,42.90%,71.40%,72,61,54.10%,7,0,97,18,36,5,4,54,0,0,72.23,12,-81.771,-0.523,10.4,-2.6,-0.3,-0.6,2.8,-0.7
Ales,Hemsky,ALESHEMSKY,OTT,RW,75,2,11,13,5,7,2,4,7,4.4,11,5,7,18.20%,8.70%,38,0,0,9,177.1,2.35,2.34,2.93,44.40%,11.80%,70.60%,82.40%,0,0, ,17,5,113,27,45,11,5,66,3,0,65.98,-21,-82.505,-1.434,12.8,-3,0.1,-0.6,2.6,-1
Alex,Chiasson,ALEXCHIASSON,DAL,RW,79,6,7,13,4,3,6,4,4,2.9,57,19,9,10.50%,7.10%,38,0,4,14,265.4,3.35,3.23,2.68,54.70%,21.40%,25.00%,46.40%,30,33,47.60%,28,3,235,41,115,15,4,121,1,1,102.64,32.1,-84.37,-5.61,30.9,7.5,-1.2,-1,-2.1,3.2
Alex,Galchenyuk,ALEXGALCHENYUK,MTL,C,65,3,7,10,5,2,2,4,1,4.5,23,6,10,13.00%,7.70%,50,0,2,5,132.3,2.03,2.01,3.92,33.90%,18.20%,63.60%,81.80%,0,0, ,11,1,99,25,45,5,6,63,1,3,83.27,6.2,-80.899,-7.154,10.9,-1.4,0,-0.8,1.9,-0.4
Alex,Goligoski,ALEXGOLIGOSKI,DAL,D,81,3,12,15,6,6,3,6,5,3.4,45,6,35,6.70%,3.50%,65,8,2,6,268,3.3,3.2,2.68,54.40%,12.50%,50.00%,62.50%,,, ,24,3,235,36,120,15,10,120,1,1,100.66,28.4,-80.685,3.233,29.2,5,-0.9,-0.6,-2.3,1.2
Alex,Grant,ALEXGRANT,ANA,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0.00%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Alex,Killorn,ALEXANDERKILLORN,TBL,C,82,3,5,8,2,3,3,2,3,3,23,7,8,13.00%,7.90%,16,1,2,3,157.5,1.92,1.92,3.36,36.40%,21.40%,35.70%,57.10%,17,14,54.80%,14,2,99,18,42,5,5,47,3,0,65.68,-0.1,-82.276,-4.406,13.3,-0.6,0.1,-0.9,1.5,0.2
Alex,Ovechkin,ALEXOVECHKIN,WSH,RW/LW,78,24,15,39,7,8,24,5,9,6,137,60,62,17.50%,9.30%,46,0,13,16,392.8,5.03,4.83,0.36,93.10%,39.30%,24.60%,63.90%,0,0, ,61,9,342,54,149,15,11,160,5,1,99.24,69.2,-68.977,2.448,41.3,5.3,-1.1,0,-3.9,0.3
Alex,Petrovic,ALEXPETROVIC,FLA,D,7,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,,,0.00%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0
Alex,Pietrangelo,ALEXPIETRANGELO,STL,D,81,2,16,18,8,7,3,7,7,4.7,36,17,34,5.60%,2.30%,49,6,0,6,227.5,2.8,2.69,2.67,50.20%,12.50%,62.50%,75.00%,,, ,24,3,122,24,77,8,8,104,2,0,78.08,-19,-83.625,-3.52,15,-4.8,-0.1,-0.1,2.3,-2.8
Alex,Tanguay,ALEXTANGUAY,COL,LW,16,0,2,2,0,2,0,0,2,2.7,3,2,5,0.00%,0.00%,0,2,0,2,45.3,2.82,2.69,2.59,50.90%,0.00%,50.00%,50.00%,0,0, ,4,0,28,2,8,2,2,14,0,0,66.8,3.1,-79.389,-1.431,4.8,0.7,0.2,-0.4,-0.4,0.1
Alexander,Edler,ALEXANDEREDLER,VAN,D,63,4,8,12,4,4,4,4,4,4,39,17,43,10.30%,4.00%,39,1,2,6,179.9,2.85,2.81,2.43,53.60%,22.20%,44.40%,66.70%,,, ,18,3,157,20,68,6,3,90,3,0,102.12,20.6,-80.6,-2.955,20.2,3.8,-0.6,-0.2,-2,1
Alexander,Khokhlachev,ALEXANDERKHOKHLACHEV,BOS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0.5,0.5,0.5,1.22,29.10%,0.00%,0.00%,0.00%,1,0,100.00%,0,0,0,0,0,0,0,0,0,0,0,-147.9,-77.062,6.38,-0.1,-0.1,0,0,0,-0.1
Alexander,Semin,ALEXANDERSEMIN,CAR,RW/LW,65,6,6,12,3,3,4,1,2,3.3,50,22,46,12.00%,5.10%,45,0,1,6,221.2,3.4,3.16,2.35,57.40%,36.40%,54.50%,90.90%,0,1,0.00%,11,5,153,24,82,16,6,105,1,2,87.68,0.8,-81.559,-2.204,15.4,-3.6,-1,-0.1,1.6,-3.1
Alexander,Steen,ALEXANDERSTEEN,STL,LW/C,68,7,10,17,6,4,6,5,3,4.5,57,23,52,12.30%,5.30%,43,1,2,6,226.3,3.32,3.22,2.23,59.10%,20.70%,34.50%,55.20%,15,21,41.70%,29,3,178,17,80,7,9,126,0,1,103.4,35.6,-83.406,-1.059,23.1,1.6,-0.5,-0.4,2.1,2.8
