First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,45Miss,45Shots,45Blkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBA,TmSHBF,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Justin,Abdelkader,DET,LW/RW/C,82,0,0,0,0,0,0,0,2,0,0,2,1,0.0%,0.0%,15,11,7,4,10,7904,1.61,123.8,1.51,310.7,3.79,28.5%,3,2,60.0%,0,8,7,84,3,35,2,58,10,84,10.6%,-1.8,3,1,-29.6,9.0,5.1
Noel,Acciari,BOS,C,19,0,0,0,,,,0,1,0,,,,0.0%,0.0%,3,,,0,0,1460,1.28,,0.00,,0.00,0.0%,6,7,46.2%,,,0,0,0,0,0,0,,,0.0%,,,,0.0,,
Kenny,Agostino,CGY,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,13.0,6.51,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Andrew,Agozzino,COL,LW/C,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,40.7,4.52,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Karl,Alzner,WSH,D,82,0,0,0,0,0,0,0,1,2,1,1,0,0.0%,0.0%,49,23,2,7,2,13990,2.84,231.7,2.83,188.4,2.30,55.1%,0,0, ,1,21,17,169,4,86,1,113,12,162,6.9%,-5.5,1,1,-36.8,3.3,-6.7
Josh,Anderson,CBJ,RW/LW,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,47,0.07,0.4,0.03,66.1,5.51,0.6%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,0.0,-1.6
Joakim,Andersson,DET,C,29,0,0,0,0,0,0,0,1,0,0,1,1,0.0%,0.0%,2,1,0,0,1,3242,1.86,48.9,1.69,100.1,3.45,32.8%,11,13,45.8%,0,7,2,31,1,23,1,23,3,38,7.3%,-5.9,1,0,-44.2,4.8,0.6
Andy,Andreoff,LAK,LW/C,60,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,151,0.04,1.8,0.03,327.9,5.46,0.6%,1,1,50.0%,0,0,1,2,0,0,0,1,1,1,50.0%,37.9,1,0,0.0,0.0,-6.4
Sven,Andrighetto,MTL,RW/LW,44,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,28,0.01,0.2,0.00,206.8,4.70,0.1%,0,0, ,0,0,0,1,0,0,0,1,0,0,0.0%,,1,0,0.0,,
Mike,Angelidis,TBL,LW,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,1,1,60,0.25,1.1,0.28,20.3,5.08,5.2%,0,0, ,0,0,0,1,0,0,0,0,0,0,0.0%,,0,0,-53.6,,
Artem,Anisimov,CHI,C,77,3,1,4,3,1,0,5,10,1,1,7,1,30.0%,33.3%,12,5,3,1,5,6264,1.36,96.1,1.25,246.8,3.21,28.0%,40,86,31.7%,4,14,14,90,3,42,2,36,16,81,16.5%,1.5,0,2,-56.8,2.6,-2.0
Josh,Archibald,PIT,RW/LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0,0,0,0,0,0,0.00,0.0,0.00,6.3,6.31,0.0%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.0%,,0,0,0.0,,
Mark,Arcobello,TOR,RW/C,20,0,0,0,0,0,0,0,1,0,0,1,0,0.0%,0.0%,0,0,0,0,0,130,0.11,3.3,0.16,106.9,5.34,3.0%,5,1,83.3%,0,0,2,5,0,0,0,1,2,4,33.3%,20.1,0,0,-36.8,0.0,-8.6
Joel,Armia,WPG,RW,43,0,2,2,0,1,0,2,1,0,0,1,0,0.0%,0.0%,1,2,0,0,2,1009,0.39,15.2,0.35,210.3,4.89,6.7%,0,0, ,1,4,1,7,0,10,2,7,4,12,25.0%,7.4,0,0,-55.4,25.0,20.5
