First Name,Last Name,End Team,Pos,GP,SHG,SHA,SHP,45G,45A1,45A2,SHPass,SHShot,SHMiss,SHBlkd,SHSh%,SHCoSH%,SHBlk,SHHitF,SHHitA,SHGive,SHTake,SHTOI,SHTOI/G,45TOI,45TOI/G,45TOF,45TOF/G,SH%,SHFOW,SHFOL,SHFO%,TmSHGF,TmSHGA,TmSHSVA,TmSHSVF,TmSHMF,TmSHMA,TmSHBF,TmSHBA,TmSHSCF,TmSHSCA,SHSC%,SHRelSC%,SHPenT,SHPenD,SHCorsi,SHOZ%,SHRelOZ%
Justin,Abdelkader,DET,LW,71,0,0,0,0,0,0,0,5,2,1,0.00%,0.00%,8,2,2,2,3,66.1,0.93,60,0.85,329.9,4.65,15.40%,0,0, ,0,5,9,43,2,23,28,1,11,57,16.20%,4.74,0,2,-87,2.1,-5.6
Will,Acton,EDM,C/RW,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,1,0,0,1,4.1,1.35,4.4,1.47,6,2.01,42.30%,1,1,50.00%,0,1,1,4,0,0,2,0,1,4,20.00%,-13.33,0,0,-81.4,0,-12.5
Luke,Adam,CBJ,C,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,19.8,6.59,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Craig,Adams,PIT,RW,70,0,1,1,0,1,0,11,6,0,1,0.00%,0.00%,16,14,1,2,2,178.8,2.55,166.6,2.38,227.7,3.25,42.30%,10,11,47.60%,2,14,20,142,1,71,77,5,13,146,8.20%,-2.75,0,1,-99.4,4.3,-0.8
Andrew,Agozzino,COL,LW,1,0,0,0,,,,0,,,,0.00%,0.00%,,,,,,0,0,,0,,0,0.00%,0,0, ,,,0,0,0,0,0,0,,,0.00%,,,,0,,
Jason,Akeson,PHI,RW,13,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.1,0.01,0,0,61.5,4.73,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Bryan,Allen,MTL,D,11,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,3,1,0,0,0,15.8,1.44,15.7,1.42,39.1,3.55,28.60%,,, ,0,2,2,12,0,4,14,0,0,14,0.00%,-30,0,0,-115,7.1,-0.2
Conor,Allen,NYR,D,4,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0.5,0.13,19.8,4.96,2.60%,,, ,0,0,0,0,0,0,0,1,1,0,100.00%,88.24,0,0,60,100,100
Mark,Alt,PHI,D,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,7.6,7.56,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Karl,Alzner,WSH,D,82,0,0,0,0,0,0,0,3,0,1,0.00%,0.00%,28,10,4,1,1,179.1,2.18,165.5,2.02,267.4,3.26,38.20%,,, ,1,14,31,124,6,62,78,4,23,118,16.30%,6.8,0,1,-85.6,7.8,3
Josh,Anderson,CBJ,RW,6,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,29.3,4.89,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Joakim,Andersson,DET,C,68,0,0,0,0,0,0,0,8,0,2,0.00%,0.00%,5,1,5,3,2,147.2,2.16,138,2.03,250.5,3.68,35.50%,52,57,47.70%,2,12,19,119,6,38,39,5,21,105,16.70%,5.18,1,1,-76.5,7.7,-0.2
Andy,Andreoff,LAK,LW/C,18,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0.2,0.01,0,0,104.4,5.8,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Sven,Andrighetto,MTL,RW,12,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,67.9,5.66,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Mike,Angelidis,TBL,LW,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,22.9,7.63,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
Artem,Anisimov,CBJ,C,52,0,3,3,0,2,1,13,7,5,2,0.00%,0.00%,3,2,4,1,3,104.4,2.01,102.7,1.98,207.2,3.99,33.10%,14,13,51.90%,3,12,17,87,8,30,31,4,20,84,19.20%,5.02,0,0,-74.8,10.5,4.8
Mark,Arcobello,ARI,C/RW,77,0,1,1,0,1,0,4,1,2,1,0.00%,0.00%,0,1,1,1,3,44.8,0.58,40.7,0.53,352.9,4.58,10.30%,5,13,27.80%,1,6,3,36,2,8,10,1,4,29,12.10%,0.42,0,1,-78.1,17.4,11.8
Joel,Armia,BUF,RW,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,9.2,9.24,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,0.00%,,0,0,0,,
