First Name,Last Name,End Team,Pos,GP,PPG,PPA,PPP,54G,54A1,54A2,PPP/60,PPShot,PPMiss,PPBlkd,PPSh%,PPCoSH%,PPPass,PPBlk,PPHitF,PPHitA,PPGive,PPTake,PPTOI,PPTOI/G,54TOI,54TOI/G,54TOF,54TOF/G,PP%,PPIGP,PPIAP,PPIPP,PPFOW,PPFOL,PPFO%,TmPPGF,TmPPGA,TmPPSVA,TmPPSVF,TmPPMF,TmPPMA,TmPPBF,TmPPBA,TmPPSCF,TmPPSCA,PPSC%,PPRelSC%,PPPenT,PPPenD,PPCorsi,PPOZ%,PPRelOZ%
Justin,Abdelkader,DET,LW,71,8,6,14,8,5,1,4.2,36,11,2,22.20%,16.30%,29,0,8,7,2,0,199.5,2.81,196.4,2.77,205.8,2.9,48.80%,25.00%,18.80%,43.80%,2,1,66.70%,32,7,153,28,77,8,5,75,198,28,-1.5,87.6,5,4,86.9,95.1,1.7
Will,Acton,EDM,C/RW,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.1,0.02,0.1,0.03,17.5,5.85,0.50%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,100,0
Luke,Adam,CBJ,C,3,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,1,0,0,0,0,0,0.6,0.19,17.9,5.98,3.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,1,1,0,27.3,100,0,0,60,,
Craig,Adams,PIT,RW,70,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,2.4,0.03,1.7,0.02,353.7,5.05,0.50%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,2,0,0,100,6.7
Andrew,Agozzino,COL,LW,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,7.9,7.88,0.00%,0.00%,0.00%,0.00%,0,0, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Jason,Akeson,PHI,RW,13,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,1,0,3,0.23,3.6,0.28,68.1,5.24,5.00%,0.00%,0.00%,0.00%,0,0, ,0,0,2,1,2,1,0,1,2,1,-22.6,66.7,1,0,61,50,-45.1
Bryan,Allen,MTL,D,11,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,38.7,3.52,0.00%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Conor,Allen,NYR,D,4,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0.5,0.12,0.2,0.06,16.9,4.23,1.30%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,100,14.3
Mark,Alt,PHI,D,1,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,0,0,0,0,5.8,5.83,0.00%,0.00%,0.00%,0.00%,,, ,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,
Karl,Alzner,WSH,D,82,0,0,0,0,0,0,0,0,0,0,0.00%,0.00%,0,0,0,0,0,0,1.6,0.02,1.7,0.02,365.2,4.45,0.50%,0.00%,0.00%,0.00%,,, ,0,0,1,0,1,0,0,1,0,0,,,0,0,114.9,100,3.7
