"","PLAYER","AGE","POS","DATE","LENGTH","VALUE","CAP HIT","Nat","Ht","Wt","DftYr","DftRd","Ovrl","GP","+/-","E+/-","PIM","OTG","GWG","NPD","xGF","xGA","Grit","1st","2nd","3rd","LY Salary","LY Cap Hit","ev_G","ev_A","ev_A1","ev_PTS","ev_IPP%","ev_SH%","ev_PDO","ev_F/60","ev_A/60","ev_Pct%","ev_RelPct%","ev_ixG","ev_iSCF","ev_iCF","ev_iFF","ev_iSF","ev_iRB","ev_iRS","ev_iDS","ev_Pass","ev_iHF","ev_iHA","ev_iGVA","ev_iTKA","ev_iBLK","ev_iFOW","ev_FO%","ev_CF","ev_CA","ev_FF","ev_FA","ev_SCF","ev_SCA","pp_G","pp_A","pp_A1","pp_PTS","pp_TOI","pp_TOI/GP","pp_F/60","pp_A/60","pp_Pct%","pp_RelPct%","pk_G","pk_A","pk_PTS","pk_TOI","pk_TOI/GP","pk_F/60","pk_A/60","pk_Pct%","pk_RelPct%","pk_iTKA","pk_iBLK","Prev3GP","ev_Prev3G","ev_Prev3A","ev_Prev3PTS","ev_Prev3TOI","ev_Prev3Corsi","pp_Prev3PPG","pp_Prev3PPA","pp_Prev3PPP","pp_Prev3TOI","pk_Prev3Blk","pk_Prev3Hits","pk_Prev3TOI"
"1","Josh Leivo",24,"LW","17-Nov-17",1,"$925,000","$925,000","CAN",74,205,2011,3,86,13,2,3,4,0,0,2.3,13,4.9,13,0,0,1,"$575,000.00","$612,500.00",1,6,5,7,"87.50%","9.40%",1030,"61.3","50","55.10%","3.80%",2.3,11,36,30,21,0,3,"3",87.2,5,20,1,10,4,1,"100.00%",139,113,115,83,34,15,1,2,1,3,1496,1.92,110.2,16.8,"86.80%","-0.70%",0,0,0,0,0.02,0,0,"0.00%","-14.30%",0,0,28,6,1,7,246.4,-1.6,1,0,1,32.5,0,0,0.2
"2","Cam Atkinson",28,"RW","16-Nov-17",7,"$41,125,000","$5,875,000","USA",68,182,2008,6,157,82,13,-2.3,22,3,9,0.3,83.4,75.5,89,6,5,2,"$3,500,000.00","$3,500,000.00",22,16,10,38,"90.50%","7.80%",1024,"57.1","60.9","48.40%","0.10%",15.7,58,278,211,172,10,12,"22",243.7,25,36,15,25,26,1,"50.00%",1023,1088,738,811,168,171,10,11,4,21,12473,2.46,98.9,11.6,"89.50%","3.50%",3,0,3,7663,1.58,9.9,98.8,"9.10%","-4.10%",8,5,238,51,49,100,3152.9,-2.2,15,14,29,524.6,18,3,226.5
"3","Kyle Turris",28,"C","5-Nov-17",6,"$36,000,000","$6,000,000","CAN",73,190,2007,1,3,78,-3,-4.5,47,2,6,-0.3,71.6,62.8,130,1,8,2,"$4,000,000.00","$3,500,000.00",21,17,11,38,"93.80%","7.10%",1001,"55.9","60.3","48.10%","0.40%",10.9,36,239,167,133,10,14,"24",293.3,19,66,30,18,46,507,"53.20%",1081,1168,774,864,136,160,6,11,7,17,13658,2.85,97.2,14,"87.40%","0.80%",0,0,0,3366,0.76,16,90.2,"15.10%","2.80%",2,9,221,47,62,109,3296.1,6.4,13,25,38,621.6,9,2,220.6
"4","Andreas Athanasiou",23,"C","23-Oct-17",1,"$1,387,500","$1,387,500","CAN",74,188,2012,4,110,64,-7,-6.6,28,2,3,3.9,37.6,35.9,81,4,2,2,"$575,000.00","$628,333.00",17,8,5,25,"90.90%","8.80%",1009,"48.3","53.8","47.30%","0.80%",9.3,29,188,145,99,4,7,"11",104.7,27,53,14,12,20,35,"47.20%",580,644,457,494,80,87,1,3,0,4,4654,1.21,89.6,17,"84.00%","-5.20%",0,0,0,1989,0.54,17,90.3,"15.90%","4.00%",3,0,37,8,5,13,306.1,2.2,0,0,0,0.4,1,1,17.8
"5","Brandon Pirri",26,"C, LW, RW","4-Oct-17",1,"$650,000","$650,000","CAN",72,186,2009,2,59,60,-8,-8.3,25,0,3,-1.1,43.6,27.5,87,1,2,0,"$1,100,000.00","$1,100,000.00",3,6,3,9,"40.90%","8.50%",989,"51.1","55.5","47.90%","0.80%",5.2,18,112,82,53,5,7,"12",66.9,35,45,19,21,18,115,"59.40%",491,531,366,404,74,90,5,4,2,9,9216,2.51,115.2,8.4,"93.20%","4.90%",0,0,0,32,0.02,0,46.9,"0.00%","-8.80%",0,0,159,36,19,55,1940,4.8,13,10,23,278.2,0,0,1.5
"6","Daniel Winnik",32,"C","4-Oct-17",1,"$660,000","$660,000","CAN",74,206,2004,9,265,72,15,-0.8,49,0,3,2.7,29.5,44.5,111,2,0,2,"$1,800,000.00","$2,250,000.00",10,13,8,23,"88.50%","8.30%",1030,"48.7","47.9","50.40%","0.90%",6.4,22,109,93,63,5,4,"9",183.2,20,77,27,18,19,8,"57.10%",596,589,440,434,85,89,0,0,0,0,209,0.09,69.5,34.8,"66.70%","-23.70%",2,0,2,10901,2.56,17,81.8,"17.20%","3.90%",12,14,231,19,59,78,2867.1,-3.1,0,0,0,35.6,57,3,574.2
"7","Nikolaj Ehlers",21,"LW","4-Oct-17",7,"$42,000,000","$6,000,000","DNK",72,172,2014,1,9,82,1,4.9,38,0,4,16.6,77.5,56.5,109,6,1,4,"$925,000.00","$894,167.00",20,32,17,52,"88.10%","10.20%",1012,"55.1","54","50.50%","4.20%",13.5,46,270,212,142,6,22,"28",306.6,42,79,35,35,21,0,"0.00%",1074,1056,818,808,162,178,5,7,1,12,12834,2.54,84.2,16.8,"83.30%","-5.20%",0,0,0,89,0.09,4.7,9.5,"33.30%","20.80%",0,0,72,11,16,27,956.2,8.2,4,7,11,164,0,0,0.9
"8","Alex Chiasson",27,"RW","4-Oct-17",1,"$660,000","$660,000","CAN",76,208,2009,2,38,81,-6,4.2,46,0,1,-2.5,42.5,42.4,140,0,1,2,"$800,000.00","$800,000.00",11,10,4,21,"68.90%","7.00%",977,"52.7","48.5","52.10%","4.20%",8.3,29,148,115,94,9,11,"20",108.1,71,89,19,29,16,7,"24.10%",832,767,611,564,101,103,0,2,0,2,3118,0.68,96.3,12.2,"88.70%","0.60%",1,0,1,4518,0.96,9.9,69.6,"12.40%","-2.70%",3,1,232,20,32,52,2526,-10.7,11,10,21,496.2,4,7,216
"9","Jaromir Jagr",45,"RW","3-Oct-17",1,"$2,000,000","$1,000,000","CZE",75,230,1990,1,5,82,2,4.2,56,0,2,-5.2,82.6,48.4,81,4,3,2,"$4,000,000.00","$4,000,000.00",8,25,17,33,"62.90%","8.00%",1007,"58.9","48.2","55.00%","8.00%",13.9,49,223,180,132,12,8,"20",361.2,20,80,34,40,4,1,"50.00%",1113,910,876,748,152,133,8,5,3,13,13609,2.7,109,9.9,"91.70%","3.70%",0,0,0,76,0.08,0,10.3,"0.00%","-18.10%",0,0,238,54,87,141,3577.2,23.4,14,25,39,620.1,0,0,5.5
"10","Jack Eichel",20,"C","3-Oct-17",8,"$80,000,000","$10,000,000","USA",74,196,2015,1,2,61,-13,-5.5,22,1,4,11.1,67,50,83,5,5,5,"$925,000.00","$925,000.00",14,19,9,33,"89.20%","7.30%",993,"54.2","60.9","47.10%","0.60%",12.2,31,277,221,174,9,13,"22",213.6,24,51,32,33,33,297,"38.80%",877,984,691,734,126,137,10,14,7,24,10917,2.87,108.1,14.7,"88.10%","-2.30%",0,0,0,881,0.33,21.6,55.5,"28.00%","20.40%",0,0,81,16,19,35,1186.7,-6.9,8,13,21,239.4,0,1,29.4
