PLAYER,AGE,POS,TEAM,DATE,TYPE,LENGTH,VALUE,CAP HIT
Brayden McNabb,26,D,,29-Nov-17,Standard,4,"$10,000,000","$2,500,000"
Austin Strand,20,D,,27-Nov-17,Entry-Level,3,"$2,775,000","$759,166"
Jack Campbell,25,G,,22-Nov-17,Standard,2,"$1,350,000","$675,000"
Anthony Greco,24,RW,,20-Nov-17,Entry-Level,1,"$660,000","$660,000"
Josh Leivo,24,LW,,17-Nov-17,Standard,1,"$925,000","$925,000"
Cam Atkinson,28,RW,,16-Nov-17,Standard,7,"$41,125,000","$5,875,000"
Glenn Gawdin,20,"C, RW",,16-Nov-17,Entry-Level,3,"$2,775,000","$775,833"
Jonathan Ang,19,C,,16-Nov-17,Entry-Level,3,"$2,775,000","$759,166"
Kyle Turris,28,C,,5-Nov-17,Standard,6,"$36,000,000","$6,000,000"
Maxime Fortier,19,"RW, C",,3-Nov-17,Entry-Level,3,"$2,775,000","$925,000"
Jack Rodewald,23,RW,,24-Oct-17,Entry-Level,2,"$1,415,000","$706,250"
Andreas Athanasiou,23,C,,23-Oct-17,Standard,1,"$1,387,500","$1,387,500"
Cliff Pu,19,RW,,23-Oct-17,Entry-Level,3,"$2,775,000","$759,166"
Roman Polak,31,D,,23-Oct-17,Standard,1,"$1,100,000","$1,100,000"
Brooks Laich,34,"C, LW",,19-Oct-17,Standard,1,"$650,000","$650,000"
Derek Forbort,25,D,,19-Oct-17,Standard,2,"$5,050,000","$2,525,000"
Jonah Gadjovich,19,LW,,16-Oct-17,Entry-Level,3,"$2,775,000","$845,000"
Michael Matheson,23,D,,7-Oct-17,Standard,8,"$39,000,000","$4,875,000"
Mark Borowiecki,28,D,,5-Oct-17,Standard,2,"$2,400,000","$1,200,000"
Josh Manson,25,D,,4-Oct-17,Standard,4,"$16,400,000","$4,100,000"
Brandon Pirri,26,"C, LW, RW",,4-Oct-17,Standard,1,"$650,000","$650,000"
Daniel Winnik,32,C,,4-Oct-17,Standard,1,"$660,000","$660,000"
Cody Franson,30,D,,4-Oct-17,Standard,1,"$1,000,000","$1,000,000"
Nikolaj Ehlers,21,LW,,4-Oct-17,Standard,7,"$42,000,000","$6,000,000"
Alex Chiasson,27,RW,,4-Oct-17,Standard,1,"$660,000","$660,000"
Jaromir Jagr,45,RW,,3-Oct-17,35+,1,"$2,000,000","$1,000,000"
Jack Eichel,20,C,,3-Oct-17,Standard,8,"$80,000,000","$10,000,000"
Tanner Glass,33,LW,,3-Oct-17,Standard,1,"$650,000","$650,000"
Harry Zolnierczyk,30,LW,,3-Oct-17,Standard,1,"$650,000","$650,000"
Kyle Keyser,18,G,,3-Oct-17,Entry-Level,3,"$2,150,000","$716,666"
